smiles,bt_utility,true_logs_esol
CC(N)=O,8.3689,0.1141
CO,11.9959,0.2080
CCO,4.1658,-0.1247
CC(C)=O,-0.7937,-0.5751
Oc1ccccc1,-7.5430,-1.9349
Nc1ccccc1,-2.1604,-1.8510
Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.8372,-0.8713
Cc1ccccc1,-6.6944,-2.3024
C1CCCCC1,-1.6837,-1.8364
CCCCCC,3.1057,-1.8059
c1ccc2ccccc2c1,-8.3524,-3.1638
C=CCCCCCCCC,2.7032,-2.7192
C(=C/c1ccccc1)/c1ccccc1,-3.0800,-3.8897
CC(C)(C)C(=O)NC=NC(N)=NC(N)=O,-6.2907,-0.8254
CC(C)NC(=O)NC(N)=O,-3.5724,-0.5308
CC(C)C(C)C,-6.5015,-1.7563
Cc1ccc(O)c(O)c1,-1.2236,-1.9889
Cc1ccc([N+](=O)[O-])cc1C(=O)O,-0.7707,-2.1815
CC(C)C(N)=O,3.3566,-0.3946
NC(N)=O,16.2150,0.4027
C=Cc1cc(Cl)ccc1NC(=O)NC(=O)c1c(N)ccc(O)c1O,-3.0801,-4.0192
Nc1ccc(N)c(C(=O)NC(=O)Nc2ccc(Cl)cc2)c1,-6.4250,-3.5740
Nc1ccc(Cl)c(Cl)c1,0.5378,-2.9605
NCC(N)=O,9.5752,0.7555
NC(=O)NC(N)=O,-6.0655,0.3189
NC(=O)N=C(N)C(N)=O,0.8853,0.6715
NC(=O)O,5.0323,0.0190
Nc1ccc(N)nc1,-4.5419,-1.2266
