smiles,bt_utility,true_logs_esol
CC(N)=O,7.9630,0.1141
CO,15.0850,0.2080
CCO,2.7543,-0.1247
CC(C)=O,-2.0413,-0.5751
Oc1ccccc1,-7.1181,-1.9349
Nc1ccccc1,-0.1238,-1.8510
Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.8075,-0.8713
Cc1ccccc1,-10.7698,-2.3024
C1CCCCC1,-6.2495,-1.8364
CCCCCC,-2.6504,-1.8059
c1ccc2ccccc2c1,-7.7957,-3.1638
C=CCCCCCCCC,-1.5841,-2.7192
C(=C/c1ccccc1)/c1ccccc1,-6.5985,-3.8897
CC(C)C(N)=O,2.9996,-0.3946
CCN(CC)C(=O)Nc1ccc(N)cc1,-10.7697,-2.5729
NCC(N)=O,11.6971,0.7555
CC(C)C(C)C,2.4043,-1.7563
CC(C)(C)C,-4.4146,-1.5803
NC(N)=O,19.0611,0.4027
CC(C)C(C)(C)C,-9.1051,-2.1550
Cc1ccc(Cl)cc1Cl,-5.3492,-3.4119
Cc1ccc(O)c(O)c1,2.8288,-1.9889
O=C(O)c1ccccc1C(=O)O,0.8713,-1.7903
CC(C)(C)C(N)=O,4.2702,-0.7933
CC(C)(C)c1ccc(O)c(O)c1,-4.5236,-2.7496
O=C(O)c1ccccc1-c1ccccc1,-2.9881,-3.4516
NC(=O)N=C(N)C(N)=O,7.8373,0.6715
NC=NC(N)=NC(N)=O,0.5021,0.3884
