smiles,bt_utility,true_logs_esol
CC(N)=O,12.0229,0.1141
CO,15.3924,0.2080
CCO,4.8289,-0.1247
CC(C)=O,-0.3495,-0.5751
Oc1ccccc1,-5.5918,-1.9349
Nc1ccccc1,2.4189,-1.8510
Cn1c(=O)c2c(ncn2C)n(C)c1=O,6.8105,-0.8713
Cc1ccccc1,-11.5053,-2.3024
C1CCCCC1,-7.0519,-1.8364
CCCCCC,-3.5779,-1.8059
c1ccc2ccccc2c1,-8.4426,-3.1638
C=CCCCCCCCC,-1.2966,-2.7192
C(=C/c1ccccc1)/c1ccccc1,-6.3496,-3.8897
CC(C)C(N)=O,3.4707,-0.3946
CCN(CC)C(=O)Nc1ccc(N)cc1,-11.5053,-2.5729
NCC(N)=O,8.8131,0.7555
CC(C)C(C)C,2.1080,-1.7563
CC(C)(C)C,-2.2800,-1.5803
NC(N)=O,19.3209,0.4027
CC(C)C(C)(C)C,-7.2701,-2.1550
Cc1ccc(Cl)cc1Cl,-3.2949,-3.4119
Cc1ccc(O)c(O)c1,0.3083,-1.9889
O=C(O)c1ccccc1C(=O)O,-0.3440,-1.7903
CC(C)(C)C(N)=O,-5.5779,-0.7933
O=C(O)c1ccccc1-c1ccccc1,-5.5779,-3.4516
NC(=O)N=C(N)C(N)=O,2.6269,0.6715
CC(C)C1(C)NC(=O)NC(=O)NC1=O,-3.7584,-0.9777
Nc1ccc(N)cc1,5.6520,-1.6016
