approach,variant,run,best_found,improvement_over_seed,simple_regret,normalized_score,first_improvement_iter,iters_to_ceiling,success_rate,hit_rate,invalid_rate,diversity_tanimoto,n_evals
1,A,1,3.3142,3.1062,,,1,,0.75,0.9167,0.0,0.4068,12
1,A,2,2.1843,1.9763,,,1,,0.4,1.0,0.3,0.2837,10
1,B,1,2.7509,2.5429,,,1,,0.2727,0.8889,0.1818,0.1995,11
1,B,2,0.5626,0.3546,,,1,,0.5,0.8333,0.0,0.1855,6
1,C,1,1.5856,1.3776,,,1,,0.4,1.0,0.0,0.2323,10
1,C,2,1.2579,1.0499,,,1,,0.5,0.9,0.0,0.2432,10
1,C,3,1.7808,1.5728,,,1,,0.6667,1.0,0.0,0.2533,15
